cue,R1,R2,R3
10,number,math,count
1000,thousand,number,math
101,binary,computer,code
12,number,math,count
1920s,flapper,jazz,prohibition
1950s,rock,nroll,car
1970s,disco,retro,hippie
1980s,neon,music,fashion
19th,century,history,victorian
2012,apocalypse,film,disaster
40,age,number,birthday
45,number,math,count
aardvark,ant,burrow,mammal
aaron,name,biblical,brother
abbey,monk,church,medieval
abbot,monk,leader,monastery
abby,girl,name,friend
abe,lincoln,president,honest
abel,cain,bible,brother
abortion,choice,right,health
abraham,lincoln,president,freed
absent-minded,forgetful,distracted,daydreaming
absolution,forgiveness,mercy,redemption
abstinence,celibacy,self-control,restraint
accepting,tolerance,agreemant,inclusion
acclaimed,famous,praised,renowned
achilles,hero,heel,greek
acknowledgemant,recognition,thanks,receipt
acre,land,area,farm
actual,real,true,genuine
actuality,reality,fact,present
actually,reality,truly,fact
adam,president,founder,john
adherent,follower,loyalist,supporter
adhesive,glue,stick,tape
adidas,shoe,sport,apparel
adieu,goodbye,farewell,parting
admired,respect,inspire,praise
ado,dancing,music,spain
adolph,hitler,nazi,dictator
adorable,cute,lovable,charming
adoration,love,worship,admiration
adore,love,cherish,affection
adored,loved,cherished,valued
adorn,decorate,embellish,beautify
adult,responsibility,work,independence
adultery,affair,betrayal,secrecy
aerodynamic,wind,drag,flight
aesthetic,art,beauty,design
affair,scandal,secret,cheating
affectation,pretend,artificial,show
affection,love,care,warmth
affectionate,love,caring,gentle
africa,savanna,safari,lion
african,continent,safari,wildlife
after-shave,cologne,fragrance,skin
afterbirth,placenta,childbirth,neonatal
afterlife,heaven,spirit,rebirth
age,year,old,life
aged,old,senior,vintage
aging,wrinkle,elderly,time
agnostic,belief,doubt,uncertainty
agnosticism,belief,uncertainty,religion
agreeable,pleasant,friendly,likable
airline,plane,travel,ticket
alamo,texas,mission,battle
alan,turing,computer,code
alicia,key,singer,music
alimony,divorce,spousal,support
allah,god,islam,faith
allegiance,loyalty,faithfulness,duty
allowable,permissible,acceptable,authorized
allowing,permission,granting,access
allows,permit,grant,authorizes
allure,charm,appeal,entice
alluring,tempting,captivating,charming
ally,friend,partner,helper
alopecia,hair,loss,bald
alpaca,wool,animal,andes
alpha,beta,gamma,delta
altar,church,worship,ceremony
altruism,selfless,compassion,help
altruistic,selfless,charity,compassion
alzheimer,memory,demantia,brain
alzheimer's,memory,demantia,age
aman,prayer,church,belief
amanable,agreeable,cooperative,friendly
america,freedom,eagle,liberty
amiable,friendly,warm,kind
amigo,friend,companion,pal
amish,farming,community,tradition
amity,friendship,peace,harmony
amnesia,memory,forgetfulness,brain
amour,love,romance,passion
amulet,charm,necklace,magic
anachronistic,outdated,past,historical
ancestor,heritage,root,lineage
ancestry,heritage,family,root
ancient,history,ruin,civilization
angel,heaven,wing,halo
angelic,wing,heaven,pure
anglican,church,british,religion
angrily,rage,shout,fury
animal,dog,cat,elephant
ankle,foot,leg,joint
anne,green,gable,diary
anniversary,celebration,party,year
annulmant,divorce,void,cancel
anteater,ant,termite,tongue
antecedent,cause,origin,predecessor
antelope,savanna,grass,deer
anthropology,human,culture,society
antiquated,old,vintage,outdated
antique,vintage,collectible,history
antler,deer,moose,hunt
ape,monkey,banana,forest
aphrodisiac,love,desire,passion
apnea,sleep,breathing,disorder
apocalypse,end,destruction,chaos
apostle,disciple,christianity,jesus
apparel,clothing,fashion,outfit
appealing,attractive,enticing,alluring
appraised,evaluated,assessed,valued
appreciate,thankful,grateful,value
appreciated,thankful,grateful,valued
appreciation,gratitude,thanks,recognition
appreciative,grateful,thankful,kind
approachable,friendly,welcoming,accessible
appropriation,culture,ownership,misuse
aramaic,ancient,language,syria
arc,geometry,circle,math
arch,national,park,utah
archaic,old,vintage,ancient
arched,curve,doorway,bridge
ardent,passionate,enthusiastic,fervent
aretha,franklin,singer,soul
ark,boat,animal,flood
armageddon,apocalypse,end,destruction
armchair,cushion,comfort,relax
armorer,armor,weapon,medieval
arousal,excitemant,stimulation,alertness
arouse,excite,stimulate,awaken
arousing,exciting,stimulating,provocative
arthur,knight,camelot,sword
artifact,museum,history,ancient
artist,paint,creativity,music
asexual,reproduction,plant,biology
asleep,dream,night,rest
assessed,examined,evaluated,reviewed
association,connection,relationship,network
atheism,science,reason,belief
atheist,agnostic,belief,secular
atheistic,godless,science,belief
athens,greece,acropolis,parthenon
atone,forgive,repent,amand
atonemant,forgiveness,redemption,penance
attaching,connecting,binding,securing
attire,clothing,dress,suit
attract,charm,draw,appeal
attraction,magnet,interest,tourism
attractive,beauty,charm,appealing
au,gold,kangaroo,sydney
aunt,family,love,home
auntie,family,care,visit
aureole,halo,light,crown
austen,novel,romance,england
authentic,genuine,real,original
avon,river,makeup,book
avuncular,uncle,friendly,kind
awakening,morning,consciousness,sunrise
awl,tool,leather,punch
awning,shade,tent,patio
baa,sheep,lamb,flock
baal,demon,ancient,god
baboon,monkey,forest,primate
baby,cute,diaper,cry
backbone,spine,support,skeleton
badness,evil,wrong,negative
bagger,excavator,digger,construction
baggy,clothes,loose,casual
bah,tedious,boring,dull
bald,hairless,shiny,head
ball,soccer,tennis,basketball
ballerina,dance,ballet,tutu
ballet,dance,grace,performance
bambi,deer,forest,movie
bandana,head,cloth,style
bandicoot,output marsupial,australia,nocturnal
bangladesh,dhaka,river,cricket
banker,money,loan,finance
baptism,water,faith,church
baptist,christian,church,faith
baptize,water,church,faith
baratheon,stag,throne,storm
barber,hair,scissors,cut
barefoot,sand,grass,beach
bark,dog,tree,sound
baskerville,sherlock,holmes,hound
baskervilles,sherlock,holmes,hound
basket,egg,fruit,wicker
basset,hound,dog,ear
bassinet,baby,sleep,crib
bat,ball,sport,cricket
bathrobe,towel,relax,shower
battering,storm,wind,wave
batting,cricket,hit,ball
bdrm,bed,sleep,furniture
beagle,dog,puppy,pet
beanie,hat,warm,winter
bear,forest,honey,hibernate
beard,hair,man,face
beasley,basketball,coach,ncaa
beast,animal,monster,creature
beatles,music,band,rock
beautician,makeup,hair,skincare
beautiful,pretty,scenic,elegant
beauty,elegance,grace,art
beaver,dam,river,wood
beckon,wave,signal,invite
bed,sleep,dream,pillow
bedding,pillow,blanket,sheet
bedroom,bed,sleep,dream
bedsheets,pillow,blanket,comfort
bedspread,pillow,blanket,bed
bedtime,sleep,dream,night
beelzebub,devil,demon,satan
behemoth,giant,monster,huge
beholder,dungeon,eye,monster
behooves,duty,responsibility,obligation
being,human,animal,life
belief,faith,value,conviction
believable,credible,realistic,plausible
believer,faith,trust,devotion
believing,faith,trust,confidence
bell-bottoms,fashion,retro,jean
belle,beauty,princess,disney
belly,stomach,navel,button
belly button,navel,abdoman,lint
belly-button,navel,lint,umbilical
beloved,cherished,dear,loved
belt,waist,leather,buckle
ben,output name,friend,person
bending,flexibility,curve,angle
benediction,blessing,prayer,church
benevolence,kindness,charity,generosity
benevolent,kind,charitable,generous
bengal,tiger,cat,bay
benjamin,franklin,button,moore
besotted,infatuated,enchanted,devoted
beta,alpha,testing,version
bette,davis,hollywood,actress
better,quality,improve,superior
beyoncé,music,singer,diva
bib,baby,feeding,drool
bible,god,jesus,faith
biblical,jesus,bible,god
bide,wait,delay,linger
billie,eilish,celebrity,music
billion,million,trillion,wealth
billy,name,boy,friend
bin,trash,recycle,garbage
bind,tie,secure,connect
bingo,game,card,number
biological,life,organism,genetic
biped,human,walk,leg
birth,baby,life,beginning
bisexual,lgbtq,gender,attraction
bishop,chess,church,clergy
bison,buffalo,plain,herd
bitch,insult,offensive,synonym
black,white,dark,night
blanket,warm,cozy,bed
blazer,jacket,formal,wear
bleat,sheep,goat,noise
bless,holy,grace,pray
blessed,grateful,thankful,fortunate
blessing,gift,grace,fortune
blog,writing,online,content
bloke,man,dude,friend
blondie,band,music,debbie
bloodsucker,vampire,mosquito,leech
bloomer,underwear,victorian,retro
blot,ink,stain,smudge
blouse,shirt,top,clothing
blowjob,sex,oral,intimate
blunt,dull,sharp,forceful
bobble,head,doll,figure
body suit,clothing,lycra,swim
bold,courageous,strong,brave
bombshell,explosion,surprise,news
bonbon,candy,sweet,chocolate
bond,stock,connection,finance
bondage,chain,restraint,slavery
bonding,connection,relationship,unity
boner,erection,slang,embarrassing
bongo,drum,africa,music
boning,knife,fillet,fish
bonjour,hello,greeting,french
bonnet,hat,car,head
bonnie,clyde,scotland,brave
bonny,scotland,beauty,lass
boob,breast,bra,nipple
booby,bird,blue,feather
boot,shoe,leather,lace
bop,music,dance,rhythm
bosom,comfort,heart,warmth
bottom,pant,jean,short
boudoir,intimate,photography,bedroom
bouffant,hair,style,volume
boutique,fashion,clothing,store
bovary,emma,novel,flaubert
bow,arrow,ribbon,knot
bowler,cricket,hat,curve
boxer,fighter,punching,glove
boyfriend,love,partner,relationship
boyish,young,playful,energetic
bra,underwear,lingerie,support
braid,hair,rope,pattern
brainwashing,manipulation,propaganda,control
bram,dracula,stoker,author
brando,marlon,godfather,actor
brassiere,lingerie,bra,undergarmant
brave,hero,courage,valor
braveheart,scotland,freedom,hero
bravery,courage,heroism,gut
brazen,bold,shameless,audacious
breakup,heart,tear,sadness
breast,chest,body,anatomy
breastfeed,baby,milk,nursing
breastfeeding,baby,milk,mother
breathes,air,life,lung
breed,dog,cat,horse
breeding,animal,plant,genetics
bridal,wedding,bride,gown
bride,wedding,veil,groom
bridle,horse,rein,saddle
brimstone,fire,sulfur,hell
bristle,brush,hair,stiff
bro,brother,dude,friend
bros,friend,brother,guy
brothel,prostitution,red light,illicit
brother,sibling,family,friend
brotherhood,family,bond,loyalty
brow,eye,hair,face
bruce,wayne,batman,hero
brunette,hair,brown,woman
brusque,curt,abrupt,brief
buck,deer,dollar,hunting
buckle,belt,fasten,strap
bucolic,pastoral,rural,serene
buddhist,monk,meditation,temple
buddy,friend,companion,pal
buena,música,rica,onda
buffalo,bison,grass,herd
bull,cow,charge,horn
bullet-proof,vest,shield,armor
bungee,jump,cable,adrenaline
bunny,rabbit,carrot,furry
burlesque,performance,comedy,entertainmant
burrow,tunnel,rabbit,hide
bus,vehicle,transportation,commute
businessman,suit,tie,office
bust,statue,broken,head
butch,meat,butcher,knife
button,sewing,shirt,clothes
buxom,curvy,full,voluptuous
buzzy,bee,noisy,vibrate
bye,output farewell,goodbye,see
bygone,past,history,ancient
cabinet,shelf,drawer,furniture
cackle,laughter,witch,evil
cactus,desert,thorny,green
cad,music,instrumant,guitar
caddy,golf,cart,bag
cage,bird,prison,zoo
cain,abel,brother,bible
caine,sugar,gangster,detective
calgary,canada,alberta,stampede
caller,phone,ring,answer
camaraderie,friendship,trust,bond
camelot,knight,king,castle
canaveral,rocket,space,launch
candid,truthful,open,sincere
candidly,honestly,openly,directly
canine,dog,pet,fur
canning,preserving,jar,food
canterbury,tale,cathedral,chaucer
cap,hat,head,officer
cape,cloak,land,wear
caped,mask,hero,costume
capybara,rodent,water,herbivore
cardigan,sweater,knit,warm
cardinal,bird,red,church
care,health,attention,concern
cared,loved,protected,concerned
caregiver,nurse,helper,guardian
carer,nurse,caregiver,help
caress,touch,affection,softness
caretaker,nurse,guardian,helper
caribou,elk,wilderness,antler
caring,kindness,compassion,empathy
carnation,flower,pink,bloom
carotene,vitamin,orange,vegetable
carpet,floor,rug,soft
carpeting,floor,rug,fabric
carry,transport,move,hold
cassia,cinnamon,spice,sweet
castrate,neuter,animal,veterinarian
casual,relaxed,informal,comfort
cat,feline,whisker,meow
catechism,religion,doctrine,teaching
cathedral,church,gothic,prayer
catholic,church,pope,faith
catholicism,church,pope,faith
caveman,stone,fire,club
celestial,star,space,galaxy
celibacy,monk,abstinence,religion
celibate,abstain,monk,priest
centurion,rome,war,armor
century,history,era,ancient
