cue,R1,R2,R3
10,number,mathematics,digit
1000,number,money,thousand
101,number,mathematical,logic
12,number,twelve,dozen
1920s,flapper,prohibition,jazz
1950s,retro,music,fashion
1970s,disco,music,fashion
1980s,music,fashion,movie
19th,century,history,revolution
2012,olympics,mayan,end of the world
40,number,multiply,math
45,mathematics,number,time
aardvark,animal,africa,ant
aaron,basketball,athlete,legendary
abbey,church,monastery,medieval
abbot,costello,clergyman,monk
abby,girl,name,book
abe,president,lincoln,leader
abel,cain,killed,brother
abortion,choice,termination,pregnancy
abraham,lincoln,president,history
absent-minded,forgetful,distracted,absentminded
absolution,forgiveness,sin,salvation
abstinence,temperance,purity,self-control
accepting,approval,receiving,welcoming
acclaimed,praise,recognition,award
achilles,warrior,heel,trojan
acknowledgemant,thanks,recognition,gratitude
acre,field,farm,land
actual,real,authentic,genuine
actuality,truth,reality,existence
actually,really,true,fact
adam,hitchhiker,author,space
adherent,belief,follower,supporter
adhesive,sticky,tape,glue
adidas,shoe,sportswear,logo
adieu,farewell,goodbye,parting
admired,respected,inspired,honored
ado,microsoft,window,virtual
adolph,hitler,germany,dictator
adorable,puppy,kitten,baby
adoration,love,affection,worship
adore,love,cherish,admire
adored,loved,cherished,admired
adorn,decorate,embellish,beautify
adult,responsibility,work,maturity
adultery,affair,cheating,marriage
aerodynamic,aircraft,speed,friction
aesthetic,beauty,art,lifestyle
affair,romance,scandal,secret
affectation,pretentious,insincere,behavior
affection,love,care,hug
affectionate,love,warmth,caring
africa,safari,savanna,lion
african,safari,wildlife,jungle
after-shave,cologne,shaving,bottle
afterbirth,placenta,birth,hospital
afterlife,heaven,hell,reincarnation
age,time,number,old
aged,wine,older,people
aging,wrinkle,experience,wisdom
agnostic,religion,belief,neutral
agnosticism,doubt,questioning,belief
agreeable,pleasant,friendly,cooperative
airline,flight,travel,aircraft
alamo,texas,battle,history
alan,turing,computer,scientist
alicia,singer,key,talented
alimony,divorce,money,spousal
allah,god,religion,worship
allegiance,loyalty,patriotism,devotion
allowable,permitted,acceptable,legal
allowing,permission,freedom,grant
allows,permit,rule,legal
allure,beauty,charm,magnetism
alluring,attractive,magnetic,charming
ally,friendship,trust,team
alopecia,baldness,hair,condition
alpaca,wool,farm,south america
alpha,beta,greek,astronomy
altar,pray,candle,religious
altruism,selflessness,giving,caring
altruistic,kindness,selfless,generous
alzheimer,memory,forget,degenerative
alzheimer's,memory,forgetfulness,disease
aman,prayer,church,spiritual
amanable,flexible,cooperative,adaptable
america,flag,united states,freedom
amiable,friendly,kind,sociable
amigo,friend,spanish,fun
amish,horse carriage,community,farming
amity,friendship,peace,unity
amnesia,memory,forget,confusion
amour,love,romance,french
amulet,protection,charm,necklace
anachronistic,old-fashioned,outdated,antique
ancestor,family,heritage,past
ancestry,heritage,root,family
ancient,ruin,temple,history
angel,wing,heaven,halo
angelic,wing,heaven,holy
anglican,church,religion,priest
angrily,frustration,shouting,red
animal,pet,wild,mammal
ankle,foot,bracelet,running
anne,book,red hair,england
anniversary,celebration,year,love
annulmant,marriage,divorce,void
anteater,insect,long,tongue
antecedent,consequence,history,cause
antelope,fast,grass,africa
anthropology,culture,study,social
antiquated,old-fashioned,vintage,obsolete
antique,old,valuable,collectible
antler,deer,moose,velvet
ape,jungle,banana,
aphrodisiac,love,desire,passion
apnea,breath,stop,sleep
apocalypse,disaster,chaos,survival
apostle,jesus,twelve,disciple
apparel,clothing,store,fashion
appealing,attractive,enticing,tempting
appraised,value,jewelry,estimate
appreciate,love,gratitude,value
appreciated,grateful,value,respected
appreciation,gratitude,thankful,value
appreciative,gratitude,thankful,respectful
approachable,friendly,welcoming,accessible
appropriation,money,authority,culture
aramaic,language,ancient,bible
arc,circle,curve,bend
arch,stone,beauty,utah
archaic,old,ancient,language
arched,doorway,bridge,architecture
ardent,passionate,fervent,enthusiastic
aretha,queen,respect,singer
ark,noah,flood,animal
armageddon,destruction,chaos,battle
armchair,comfortable,relaxing,reading
armorer,armor,weapon,protection
arousal,excitemant,stimulation,passion
arouse,interest,excitemant,emotion
arousing,excitemant,curiosity,interest
arthur,round table,camelot,king
artifact,museum,ancient,object
artist,painter,musician,sculptor
asexual,reproduction,asexuality,biology
asleep,dream,rest,sleepwalking
assessed,evaluation,exam,grade
association,group,linked,connection
atheism,agnosticism,belief,religion
atheist,agnostic,religion,belief
atheistic,secularism,agnosticism,humanism
athens,greece,acropolis,city
atone,forgive,sin,repent
atonemant,guilt,forgiveness,redemption
attaching,file,email,message
attire,clothes,fashionable,dress
attract,magnet,draw,attention
attraction,amusemant park,draw,attention
attractive,beautiful,charming,magnetic
au,stralia,kiwi,lagostine
aunt,family,love,caring
auntie,niece,nephew,kind
aureole,light,holy,angel
austen,book,england,romance
authentic,real,genuine,original
avon,river,cosmetic,sale
avuncular,uncle,friendly,kind
awakening,morning,sleep,dream
awl,sewing,pointed,tool
awning,shade,outdoor,fabric
baa,sheep,bleat,farm
baal,demon,idol,temple
baboon,monkey,africa,savannah
baby,cute,small,love
backbone,strong,spine,support
badness,evil,wickedness,sin
bagger,grocery,shopping,mall
baggy,pant,fashion,comfort
bah,christmas,tree,present
bald,head,shiny,hair
ball,sport,round,play
ballerina,tutu,dance,graceful
ballet,dance,graceful,music
bambi,deer,forest,disney
bandana,pirate,cowboy,headband
bandicoot,crash,video game,australia
bangladesh,country,dhaka,rice
banker,money,suit,tie
baptism,water,church,clothing
baptist,church,religion,preacher
baptize,water,sacramant,church
baratheon,lannister,throne,stag
barber,hair,scissors,shop
barefoot,sand,grass,comfortable
bark,dog,tree,loud
baskerville,sherlock,holmes,detective
baskervilles,sherlock,holmes,mystery
basket,egg,shopping,storage
basset,dog,ear,sad
bassinet,baby,sleep,newborn
bat,baseball,flying,strong
bathrobe,towel,relaxing,spaday
battering,ram,food,hitting
batting,cricket,baseball,helmet
bdrm,bed,room,sleep
beagle,dog,pet,hound
beanie,winter,head,hat
bear,forest,wild,claw
beard,hair,face,man
beasley,philadelphia,76ers,basketball
beast,animal,fierce,powerful
beatles,music,band,liverpool
beautician,salon,beauty,makeup
beautiful,flower,sunrise,smile
beauty,makeup,pageant,elegance
beaver,dam,fur,teeth
beckon,gesture,call,wave
bed,sleep,comfortable,rest
bedding,sleep,comfortable,bed
bedroom,bed,rest,sleep
bedsheets,comfortable,sleep,bed
bedspread,blanket,cover,bedroom
bedtime,pillow,sleep,night
beelzebub,demon,evil,devil
behemoth,giant,monster,powerful
beholder,eye,monster,dungeon
behooves,duty,necessary,obligation
being,human,alive,intelligent
belief,opinion,faith,principle
believable,trustworthy,plausible,credible
believer,faith,devotion,religion
believing,faith,trust,hope
bell-bottoms,jean,hippy,fashion
belle,beauty,france,disney
belly,button,fat,laugh
belly button,lint,navel,piercing
belly-button,lint,belly,button
beloved,passion,sweetheart,novel
belt,buckle,waist,fashion
ben,affleck,actor,batman
bending,flexible,body,mind
benediction,prayer,divine,blessing
benevolence,kindness,charity,generosity
benevolent,kind,generous,compassionate
bengal,tiger,india,stripe
benjamin,button,dollar,america
besotted,love,intoxicated,smitten
beta,testing,software,version
bette,actress,singer,icon
better,improve,faster,stronger
beyoncé,singer,performer,icon
bib,baby,feeding,cute
bible,god,jesus,christianity
biblical,religion,church,faith
bide,time,wait,patience
billie,eilish,singer,music
billion,money,number,wealth
billy,jean,boy,name
bin,trash,garbage,waste
bind,tie,fasten,connect
bingo,game,card,number
biological,life,organism,science
biped,human,walker,leg
birth,life,mother,newborn
bisexual,gender,attraction,fluid
bishop,chess,religion,move
bison,prairie,herd,buffalo
bitch,dog,female,insult
black,white,dark,color
blanket,warmth,comfort,bed
blazer,jacket,formal,style
bleat,sheep,sound,flock
bless,curse,favor,thankful
blessed,happiness,sacred,gratitude
blessing,gratitude,thankful,joy
blog,writing,internet,opinion
bloke,man,british,informal
blondie,musician,singer,band
bloodsucker,vampire,mosquito,leech
bloomer,flower,gardening,vintage
blot,ink,stain,blotter
blouse,shirt,fashion,clothing
blowjob,oral,pleasure,sex
blunt,knife,direct,honest
bobble,head,knit,yarn
body suit,leotard,athletic,stretchy
bold,text,style,emphasis
bombshell,explosion,bomb,surprise
bonbon,candy,sweet,treat
bond,spy,james,007
bondage,chain,pain,restraint
bonding,friend,connection,family
boner,excitemant,anatomy,embarrassmant
bongo,drum,percussion,africa
boning,fish,woodworking,meat
bonjour,hello,france,language
bonnet,car,hat,engine
bonnie,clyde,partner,crime
bonny,girl,scotland,attractive
boob,breast,milk,cancer
booby,beach,bird,galapagos
boot,shoe,foot,leather
bop,music,dance,radio
bosom,chest,embrace,warmth
bottom,jean,short,pant
boudoir,lingerie,romantic,bedroom
bouffant,hair,style,retro
boutique,clothes,fashion,store
bovary,novel,wife,tragic
bow,arrow,tie,knot
bowler,cricket,hat,ball
boxer,fight,underwear,boxing
boyfriend,lovedate,happyrelationship,kind
boyish,playful,youth,energy
bra,lingerie,support,strap
braid,hair,style,beautiful
brainwashing,medium,propaganda,manipulation
bram,stoker,vampire,horror
brando,actor,godfather,oscar
brassiere,lingerie,support,undergarmant
brave,strong,courageous,lion
braveheart,scotland,freedom,movie
bravery,courage,strength,fear
brazen,bold,risk,daring
breakup,sadness,heartbreak,emotion
breast,mammaries,chest,female
breastfeed,baby,mother,milk
breastfeeding,baby,mother,nutrition
breathes,air,life,lung
breed,dog,purebred,litter
breeding,animal,farm,horse
bridal,gown,bride,wedding
bride,groom,wedding,dress
bridle,horse,control,riding
brimstone,fire,sulfur,hell
bristle,hair,brush,angry
bro,friend,sibling,buddy
bros,friend,gang,pal
brothel,illegal,prostitution,red light district
brother,sibling,family,love
brotherhood,family,unity,loyalty
brow,hair,eye,forehead
bruce,lee,wayne,springsteen
brunette,hair,woman,dark
brusque,abrupt,rude,straightforward
buck,money,hunter,deer
buckle,belt,shoe,fasten
bucolic,countryside,peaceful,simple
buddhist,temple,meditation,peace
buddy,friend,pal,companion
buena,morning,amigo,comida
buffalo,animal,herd,bison
bull,animal,strong,market
bullet-proof,vest,protection,safety
bungee,jump,bridge,rope
bunny,carrot,soft,hop
burlesque,show,glove,feather
burrow,rabbit,dig,underground
bus,travel,commute,road
businessman,suit,meeting,money
bust,sculpture,chest,
butch,cassidy,sun dance,western
button,shirt,push,control
buxom,woman,curvy,attractive
buzzy,bee,activity,excitemant
bye,hello,goodbye,sad
bygone,past,memory,time
cabinet,drawer,storage,wood
cackle,laugh,witch,bird
cactus,desert,spike,plant
cad,computer,engineering,software
caddy,golf,car,driver
cage,animal,zoo,movemant
cain,abel,bible,murder
caine,dog,actor,movie
calgary,stampede,hockey,city
caller,phone,answer,talk
camaraderie,friendship,trust,comrade
camelot,king,arthur,roundtable
canaveral,space,rocket,launch
candid,honesty,sincere,transparent
candidly,honesty,sincere,open
canine,dog,bark,fur
canning,fruit,vegetable,preserve
canterbury,england,history,cathedral
cap,hat,baseball,lid
cape,superhero,coast,hat
caped,superhero,cape,mystery
capybara,rodent,south america,aquatic
cardigan,sweater,cozy,knit
cardinal,bird,red,catholic
care,giver,medical,kindness
cared,love,for,safe
caregiver,nurse,help,patience
carer,helper,nurse,patient
caress,gentle,touch,affection
caretaker,house,key,
caribou,animal,canada,antler
caring,kindness,help,love
carnation,flower,red,beautiful
carotene,orange,pigmant,carrot
carpet,floor,soft,pattern
carpeting,floor,texture,soft
carry,bag,supply,heavy
cassia,bark,tree,fragrant
castrate,surgery,prevent,reproduction
casual,informal,clothing,relaxed
cat,feline,meow,adorable
catechism,religion,church,teaching
cathedral,church,bell,stained glass
catholic,church,religion,pope
catholicism,religion,church,pope
caveman,cave,prehistoric,stone
celestial,sky,star,heaven
celibacy,abstinence,chastity,vow
celibate,abstain,chastity,unmarried
centurion,roman,soldier,helmet
century,time,history,past
ceremonial,ritual,traditional,celebration
ceremony,celebrate,tradition,wedding
chain,link,connect,metal
chair,seat,furniture,comfort
chanting,music,celebration,singing
chap,cowboy,horse,leather
chapeau,hat,fashion,elegance
chapel,church,wedding,prayer
charisma,charm,personality,confidence
charismatic,personality,confidence,charm
charitable,generosity,kindness,donation
charity,donation,help,community
charles,dickens,great expectations,england
charleston,south carolina,historic,dance
charlotte's,web,queen,city
charm,magical,spell,attract
charming,attractive,pleasant,delightful
chaste,pure,innocent,virgin
chastity,purity,virtue,belt
chaucer,middle ages,poetry,canterbury
cheetah,fast,spot,africa
chelsea,football,london,stadium
cheney,vice,president,politics
cherish,love,appreciate,momant
cherished,loved,precious,memory
cherub,angel,wing,heaven
cherubic,angelic,innocent,child
chest,treasure,pirate,storage
chesterfield,sofa,cigarette,england
chic,fashion,elegant,stylish
childbirth,labor,painful,miracle
chimp,banana,ape,intelligent
chimpanzee,jungle,banana,social
chin,face,feature,jaw
chino,pant,fashion,comfort
chipmunk,squirrel,small,fur
chivalrous,knight,honor,brave
chivalry,bravery,knight,honor
chopstick,sushi,food,japan
christ,jesus,church,bible
christen,name,ceremony,baptism
christening,baby,church,baptism
christian,religion,cross,bible
christianity,jesus,church,bible
chum,friend,buddy,pal
church,prayer,faith,sunday
ciao,hello,italian,goodbye
civil,war,peace,engineer
civility,politeness,manner,respect
civilization,society,culture,history
classic,movie,tale,music
classy,elegant,sophisticated,stylish
claw,scratch,animal,sharp
cleanly,tidy,organized,neat
cleat,soccer,shoe,sport
cleavage,chest,skin,area
clergy,church,priest,religion
clergyman,religion,priest,minister
cleric,holly,pray,church
clint,eastwood,actor,director
clipper,nail,hair,basketball
clitoris,sensitivity,pleasure,intimacy
cloak,magic,mysterious,hood
clock,time,alarm,watch
cloister,monastery,tranquility,peaceful
closeness,friend,intimacy,connection
closet,clothes,storage,organized
clot,blood,medicine,bandage
cloth,fabric,garmant,material
clothe,fabric,wearing,store
clothed,naked,dressed,fabric
clothes,fashion,closet,laundry
clothing,fashion,apparel,dress
cloven,hoof,goat,split
coat,jacket,warmth,cold
coating,paint,protection,layer
cobble,street,stone,old
cochlear,hearing,implant,ear
cock,rooster,penis,tail feather
coif,hair,style,salon
coiffure,hair,style,salon
coliseum,gladiator,arena,rome
collapsed,building,structure,damage
collectible,toy,antique,memorabilia
collie,dog,herding,intelligent
colonial,history,architecture,colony
colosseum,gladiator,fight,ancient
colt,horse,farm,ranch
com,puter,work,internet
comb,hair,brush,style
comfort,pillow,relax,cozy
comfortable,cozy,relaxing,pillow
comforter,warmth,bed,sleep
comforting,warmth,security,love
comfy,couch,pajama,sleep
comma,list,separator,punctuation
commandmant,god,ten,rule
commit,prison,pledge,act
commitmant,dedication,promise,responsibility
committed,loyal,dedicated,responsible
communion,sacramant,church,bread
companion,dog,friend,partner
companionship,friendship,loyalty,partnership
compassion,kindness,caring,empathy
compassionate,kindness,empathy,caring
compatriot,country,patriot,fellow
complemant,opposite,match,complete
complexity,difficulty,time-consuming,challenging
compliant,obey,rule,regulation
complimant,praise,nice,kind
complimantary,free,gift,praise
comrade,friend,solidarity,revolution
conan,barbarian,talk show,detective
conceive,idea,imagine,create
conception,pregnancy,idea,birth
concubine,marriage,ancient,woman
condom,protection,safety,sex
confederate,south,civil war,flag
confess,guilt,admit,sin
confession,guilt,truth,relief
congregation,church,worship,community
conqueror,warrior,brave,victory
conservative,traditional,right-wing,value
considerate,kind,thoughtful,empathetic
consideration,thoughtfulness,respect,decision
constricting,tight,squeeze,snake
contemporary,modern,art,design
contraception,birth control,pregnancy prevention,hormonal contraceptives
contraceptive,pill,condom,protection
contrition,regret,forgiveness,repentance
convenience,supermarket,easy,access
convent,nun,church,religion
convert,transform,change,shift
conviction,belief,judgemant,court
copulate,intimate,animal,procreate
copy,printer,paper,duplication
cord,music,speaker,electricity
cordial,drink,friendly,welcome
corsage,flower,prom,dance
corset,tight,waist,victorian
cosmetic,makeup,beauty,skincare
costello,presley,elvis,music
cot,bed,sleep,pillow
cotton,fabric,soft,clothing
couch,comfort,relaxation,tv
cougar,animal,predator,fast
countryman,people,nation,citizen
couple,love,relationship,commitmant
courage,bravery,fearless,strength
courageous,brave,strong,hero
courteous,polite,respectful,kind
courtesy,politeness,manner,kindness
cousin,family,relative,sibling
covalent,bond,electron,sharing
covenant,promise,agreemant,contract
cover,blanket,page,magazine
coverage,insurance,protection,report
coverall,protection,clothing,safety
covering,blanket,roof,veil
cowboy,hat,horse,wild west
cowgirl,horse,hat,western
coyote,desert,howling,wild
cozy,warm,blanket,cup
cradle,baby,sleep,rocking
cramp,pain,muscle,exercise
crane,construction,tall,bird
cravat,suit,formal,fashion
crazily,insane,wild,passion
crease,wrinkle,paper,fold
creased,folded,wrinkled,paper
creature,animal,fantasy,insect
credible,trustworthy,reliable,source
credo,belief,faith,philosophy
credulous,gullible,naive,trusting
creed,film,rocky,sport
crete,beach,sun,history
crib,baby,cradle,nursery
crinkle,paper,sound,wrinkle
crinkled,paper,wrinkle,texture
criss,cross,road,marker
critter,animal,insect,small
croatia,beach,europe,coast
crochet,yarn,needle,craft
cromwell,war,england,leader
cross,road,sign,bridge
crotch,pant,itchy,area
crucifix,jesus,cross,religious
crucifixion,cross,jesus,good friday
crucify,cross,jesus,sacrifice
crumple,paper,basket,wrinkled
crumpled,paper,wrinkled,trash
crusade,holy,warrior,medieval
crusader,armor,helmet,sword
ctrl-z,undo,shortcut,keyboard
cub,bear,chicago,sport
cuckold,marriage,infidelity,betrayal
cuddle,hug,warmth,love
cuddly,toy,bear,soft
cufflink,shirt,formal,accessory
cult,religion,ritual,group
cultural,tradition,heritage,art
culture,art,tradition,language
cum,pleasure,orgasm,fluid
cunnilingus,intimacy,pleasure,tongue
cunt,vulgar,offensive,slang
cupboard,clothes,storage,shelf
cupid,love,arrow,valentine
curl,hair,curly,wave
curler,hair,beauty,sport
curly,hair,sue,bracket
cursed,spell,hex,evil
curtain,window,privacy,decor
curtsy,bow,dance,respect
curvaceous,beautiful,sexy,body
curve,line,body,road
curvy,road,dress,line
cushion,pillow,comfortable,sofa
cushioned,comfort,soft,pillow
cushy,comfortable,soft,easy
custom,order,unique,personal
cute,adorable,small,animal
cutoff,jean,short,school
cutting,knife,slicing,hair
da,vinci,italy,painting
dad,father,husband,caring
dada,art,surrealism,provocative
daddy,mommy,father,family
dainty,delicate,sweet,small
dallas,texas,cowboy,skyscraper
dalmatian,dog,spot,breed
dame,japan,lady,performance
damnation,sin,hell,punishmant
damned,cursed,sin,devil
damsel,in,distress,knight
dancer,movemant,performance,choreography
dandles,candle,light,fire
dandy,fashion,elegant,sophisticated
dapper,suit,gentleman,elegant
dappled,light,spotted,horse
dare,brave,risk,adventure
daredevil,stunt,motorcycle,reckless
daring,adventure,risk,bravery
darling,love,honey,dear
darn,unfortunate,expression,damn
darning,sock,needle,thread
darwin,evolution,theory,natural
dash,line,hyphen,run
dashed,line,road,sprint
dashing,handome,brave,run
date,calendar,romance,dinner
dating,love,relationship,romance
daughter,child,girl,sister
davenport,sofa,city,iowa
deacon,church,provost,stole
dean,winchester,president,university
dear,love,letter,beloved
dearest,love,letter,beloved
dearly,beloved,heart,fond
debonair,elegant,charming,sophisticated
decade,year,ten,anniversary
decency,manner,respect,honesty
decor,festive,ornamant,home
decorate,christmas,home,party
decorating,party,home,color
decorum,etiquette,manner,formal
dee,ocean,blue,marine
deer,antler,forest,graceful
deify,worship,godly,religious
deity,god,religion,myth
deletion,remove,erase,eliminate
