cue,R1,R2,R3
10,twenty,hundred,zero
1000,thousand,million,one
101,classroom,teach,number
12,twelve,twenty-four,six
1920s,flapper,jazz,prohibition
1950s,rock-n-roll,cold war,elvis
1970s,disco,bell-bottoms,vietnam
1980s,pop music,mtv,reagan
19th,victorian,century,industrial
2012,olympics,london,mayan
40,sixty,eighty,fifty
45,fifty-five,fifty,forty
aardvark,animal,snout,africa
aaron,bible,moses,priest
abbey,monastery,religious,building
abbot,monk,leader,priest
abby,girl,name,friend
abe,lincoln,president,hat
abel,cain,bible,brother
abortion,clinic,right,choice
abraham,lincoln,bible,president
absent-minded,professor,scatterbrained,forgetful
absolution,forgiveness,sin,catholic
abstinence,celibacy,sex,purity
accepting,welcoming,open,receptive
acclaimed,famous,notable,celebrated
achilles,heel,hero,greek
acknowledgemant,recognition,credit,respect
acre,land,field,property
actual,real,factual,existent
actuality,reality,existence,truth
actually,in fact,truly,indeed
adam,eve,first,bible
adherent,follower,religion,faithful
adhesive,glue,sticky,bond
adidas,shoe,sportswear,nike
adieu,farewell,goodbye,leave
admired,respected,liked,honored
ado,teen,behavior,adolescence
adolph,hitler,germany,dictator
adorable,lovable,cute,charming
adoration,worship,reverence,love
adore,love,cherish,like
adored,cherished,loved,valued
adorn,decorate,embellish,enhance
adult,mature,people,senior
adultery,cheating,sex,marriage
aerodynamic,streamlined,design,sleek
aesthetic,beauty,art,philosophy
affair,romance,scandal,love
affectation,pretense,show,theatrical
affection,love,caring,emotion
affectionate,loving,warm,tender
africa,continent,safari,egypt
african,culture,safari,elephant
after-shave,male,grooming,scent
afterbirth,placenta,birth,maternal
afterlife,death,life,spiritual
age,medieval,dark,knight
aged,old,elderly,senior
aging,elderly,old,senior
agnostic,skeptic,belief,question
agnosticism,doubt,belief,skepticism
agreeable,pleasant,liked,friendly
airline,transport,plane,company
alamo,texas,battle,history
alan,rickman,turing,actor
alicia,key,singer,piano
alimony,support,paymant,divorce
allah,god,islam,quran
allegiance,loyalty,duty,nation
allowable,permitted,legal,accepted
allowing,permission,enable,accept
allows,permit,grant,approval
allure,tempt,seduce,fascination
alluring,enticing,attractive,charm
ally,supporter,friend,partner
alopecia,hair,loss,baldness
alpaca,animal,wool,andes
alpha,leader,pack,first
altar,sacrifice,church,worship
altruism,generosity,giving,kindness
altruistic,giving,caring,generous
alzheimer,disease,memory,demantia
alzheimer's,disease,demantia,brain
aman,prayer,religious,conclude
amanable,cooperative,compliant,willing
america,usa,flag,state
amiable,friendly,kind,warm
amigo,friend,spanish,buddy
amish,pennsylvania,buggy,conservative
amity,peace,harmony,friendship
amnesia,forgetfulness,memory,loss
amour,love,french,romance
amulet,charm,magic,luck
anachronistic,outdated,old,historical
ancestor,forebear,history,lineage
ancestry,root,history,lineage
ancient,old,civilization,time
angel,divine,holy,spiritual
angelic,heavenly,pure,celestial
anglican,church,england,religion
angrily,furious,mad,angry
animal,creature,wildlife,nature
ankle,joint,body,leg
anne,frank,diary,world war ii
anniversary,celebration,yearly,event
annulmant,divorce,marriage,end
anteater,mammal,snout,eater
antecedent,forefather,lineage,past
antelope,deer,africa,graze
anthropology,study,culture,human
antiquated,old,outdated,old-fashioned
antique,old,furniture,collectible
antler,headgear,deer,forest
ape,monkey,primate,jungle
aphrodisiac,sex,stimulant,desire
apnea,sleep,disorder,breathing
apocalypse,end,world,prophecy
apostle,jesus,disciple,christianity
apparel,clothing,fashion,wear
appealing,charming,attractive,desirable
appraised,valued,estimated,judged
appreciate,value,cherish,esteem
appreciated,valued,cherished,respected
appreciation,gratitude,thankfulness,valuing
appreciative,thankful,grateful,valuing
approachable,friendly,open,welcoming
appropriation,cultural,taking,use
aramaic,language,ancient,script
arc,curve,story,shape
arch,curved,structure,gate
archaic,old,ancient,outdated
arched,bent,curve,bridge
ardent,passionate,enthusiastic,fervent
aretha,franklin,respect,singer
ark,noah,boat,bible
armageddon,final,battle,revelation
armchair,seat,comfort,lounge
armorer,blacksmith,armor,medieval
arousal,excitemant,sexual,stimulation
arouse,excite,stimulate,provoke
arousing,sexual,interest,excitemant
arthur,king,legend,excalibur
artifact,relic,ancient,historical
artist,creator,painter,sculptor
asexual,orientation,sexual,identity
asleep,sleeping,rest,unconscious
assessed,evaluated,judged,rated
association,link,connection,relationship
atheism,disbelief,god,religion
atheist,non-believer,skeptic,secular
atheistic,secular,disbelief,non-religious
athens,greece,parthenon,ancient
atone,repent,sin,reconcile
atonemant,repentance,sin,redemption
attaching,connect,join,fix
attire,clothes,dress,fashion
attract,pull,draw,allure
attraction,pull,allure,magnetism
attractive,gorgeous,allure,charm
au,australia,gold,abbreviation
aunt,relative,family,sister
auntie,family,affectionate,nickname
aureole,halo,light,saint
austen,pride,prejudice,writer
authentic,genuine,real,true
avon,cosmetic,river,beauty
avuncular,like an uncle,kind,supportive
awakening,conscious,alert,rouse
awl,tool,pierce,leather
awning,shade,cover,canopy
baa,sheep,sound,lamb
baal,god,worship,ancient
baboon,animal,africa,monkey
baby,infant,small,young
backbone,support,spine,strength
